,no_coeffs,mse,psnr
0,1,288.1010984837465,23.535354466884343
1,17,30.975642597042878,33.220600361844575
2,33,14.734853034028013,36.44734552329674
3,49,9.363347976873513,38.41649197183034
4,65,6.351346901623191,40.10214526928034
5,81,5.039894629108839,41.10658904278529
6,97,4.056871042777527,42.04889158019449
7,113,3.37548700960916,42.84743919900179
8,129,2.8301204585782527,43.61275440049455
9,145,2.547036682223936,44.07045161183949
10,161,2.2735815915125,44.56369816618483
11,177,2.0311782266010336,45.05332328436325
12,193,1.7992962874793468,45.57977676998562
13,209,1.610206741161908,46.06198720375491
14,225,1.446278352505797,46.528284750162314
15,241,1.2797449278351456,47.05956943933045
16,257,1.1540204429905982,47.5086685863453
17,273,1.0604994269966228,47.87569922670937
18,289,0.9982718159477902,48.138315509499805
19,305,0.9148980144327383,48.51707675804359
20,321,0.8415321849388514,48.88009630367065
21,337,0.7869772668276312,49.17118173659941
22,353,0.7343023515859712,49.472054418400276
23,369,0.6821645818013106,49.79191193916673
24,385,0.6334860716161422,50.113432903252466
25,401,0.595974854424561,50.37852424642836
26,417,0.5604040664777525,50.64579082857954
27,433,0.5225877084275286,50.94921170219956
28,449,0.4899564712154726,51.22922862779497
29,465,0.4588837142913529,51.513777159405294
30,481,0.42469338129937484,51.85004868154974
31,497,0.3941962019692264,52.1736792527698
32,513,0.3638774420342711,52.52125227798028
33,529,0.3452227344980094,52.749809726024885
34,545,0.3286395338039531,52.96360555024589
35,561,0.3121404062040313,53.18730369659803
36,577,0.2923287987184586,53.47208758960957
37,593,0.2791638821335993,53.67221131747503
38,609,0.2659686917660305,53.88249843761272
39,625,0.24941352510584672,54.161603603237424
40,641,0.23707225904765997,54.38199622779129
41,657,0.22412352139157016,54.62592923455954
42,673,0.21032195676145884,54.90195747227807
43,689,0.19802269811477688,55.16365387267925
44,705,0.18754727299534063,55.39969607132893
45,721,0.17602340583244516,55.67509941076353
46,737,0.16406198630527052,55.98072395599829
47,753,0.15287889261841603,56.28732832631087
48,769,0.14265287223775883,56.58799840504318
49,785,0.13827112899098795,56.7234885197213
50,801,0.1342183096746114,56.85268595793176
51,817,0.13015405986756393,56.9862264135711
52,833,0.12637152536558102,57.11431133201
53,849,0.12275999309215935,57.24023505546356
54,865,0.11896515958853118,57.3766056933993
55,881,0.11478812579544218,57.531833958741956
56,897,0.11035862744905947,57.702740704290704
57,913,0.10634199210165016,57.86375569186812
58,929,0.10325805215590907,57.99156432544069
59,945,0.099732728586376,58.14242659808212
60,961,0.09709233951137645,58.25895395009126
61,977,0.09370297424180563,58.41326984747433
62,993,0.09019419860739272,58.5790175673865
63,1009,0.08698494667004637,58.73636259327297
