,no_coeffs,mse,psnr
0,1,288.5197334289551,23.529048386059035
1,17,34.77775955200195,32.71778760358881
2,33,18.07878875732422,35.55911030615271
3,49,11.378448486328125,37.569973131993066
4,65,7.913646697998047,39.14703703431067
5,81,6.215976715087891,40.195709819295864
6,97,5.278141021728516,40.90599371319548
7,113,4.388454437255859,41.70768767176345
8,129,3.665393829345703,42.48959716482111
9,145,3.2789688110351562,42.97343075110332
10,161,2.936565399169922,43.45240683568265
11,177,2.6660995483398438,43.872039995531864
12,193,2.4175796508789062,44.29699569377674
13,209,2.2193641662597656,44.66851791208741
14,225,1.972198486328125,45.181297397256294
15,241,1.8026542663574219,45.57167920119453
16,257,1.6245040893554688,46.02359551938353
17,273,1.5607986450195312,46.19733481506562
18,289,1.4685783386230469,46.461832427470746
19,305,1.3978042602539062,46.67634001077262
20,321,1.3315849304199219,46.887114892770214
21,337,1.2741470336914062,47.07860813373857
22,353,1.2183303833007812,47.27315285881445
23,369,1.1481552124023438,47.53079759100889
24,385,1.0980415344238281,47.72461592857737
25,401,1.0636024475097656,47.86301032830078
26,417,1.0251350402832031,48.02299282415766
27,433,0.9880790710449219,48.18288660466095
28,449,0.9562110900878906,48.32526584553481
29,465,0.9209251403808594,48.48856031909766
30,481,0.8752975463867188,48.70924649802684
31,497,0.8411598205566406,48.88201841179932
32,513,0.8101158142089844,49.04533250783764
33,529,0.7939643859863281,49.132793386882994
34,545,0.7724342346191406,49.25218847214849
35,561,0.753387451171875,49.360619787837734
36,577,0.7356796264648438,49.463916317880475
37,593,0.7206802368164062,49.55337748284346
38,609,0.7085914611816406,49.62684446266235
39,625,0.6920509338378906,49.729423018581045
40,641,0.6787071228027344,49.81397953878166
41,657,0.6648788452148438,49.903378458630044
42,673,0.6511459350585938,49.994020271570236
43,689,0.6355171203613281,50.099531062480615
44,705,0.62139892578125,50.197098627176686
45,721,0.6077995300292969,50.29320000934717
46,737,0.592376708984375,50.4048238623551
47,753,0.578338623046875,50.50898164213598
48,769,0.5684356689453125,50.58399039078884
49,785,0.5644989013671875,50.61417259833908
50,801,0.5598258972167969,50.65027376065728
51,817,0.5558891296386719,50.68092179335376
52,833,0.5516242980957031,50.71436973022418
53,849,0.5459480285644531,50.75929058789469
54,865,0.5422477722167969,50.7888258444344
55,881,0.5373344421386719,50.828356819382094
56,897,0.5331840515136719,50.86203210454663
57,913,0.5286445617675781,50.89916591943448
58,929,0.5239982604980469,50.9375051559669
59,945,0.5195198059082031,50.97478251837701
60,961,0.5136375427246094,51.02423601254442
61,977,0.5088996887207031,51.06448175639973
62,993,0.5034294128417969,51.111417752778806
63,1009,0.4989166259765625,51.150523841895705
